NAME,SALARY,POS,AGE,MIN%,USG%,TO%,FT%,2P%,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Aaron Gordon,18136364 ,2,24.91,67.8,20.7,10.4,0.674,0.494,0.308,0.484,0.516,14.4,7.7,12.7,3.7,17.4,0.82,0.63,1.61,9.1,107.2,105.8
Aaron Holiday,2345640 ,1,23.87,51.1,18.7,12.6,0.851,0.427,0.394,0.491,0.521,9.5,2.3,5.3,3.4,19.1,0.85,0.24,1.32,6.9,104.3,105.8
Abdel Nader,1752950 ,2,26.89,32.8,17,12.8,0.773,0.556,0.375,0.559,0.591,6.3,1.8,6.4,0.7,6.4,0.42,0.36,0.78,5.1,107.4,103.8
Admiral Schofield,1517981 ,1,23.38,23.3,11.8,6.7,0.667,0.516,0.317,0.489,0.507,3,1.4,7,0.5,5.3,0.24,0.12,0.21,4.6,104.5,106.4
Al Horford,27500000 ,3,34.2,63,17.5,9.7,0.763,0.516,0.35,0.52,0.536,11.9,6.8,12.4,4,19.2,0.81,0.91,1.19,9.1,114.6,105
Al-Farouq Aminu,9720900 ,2,29.9,44,13.2,14.7,0.655,0.32,0.25,0.343,0.395,4.3,4.9,12.5,1.2,7.4,1,0.44,0.94,5.6,88.2,103.7
Alex Caruso,2750000 ,1,26.46,38.3,13.8,13.8,0.734,0.468,0.333,0.481,0.525,5.5,1.9,5.7,2,13.7,1.09,0.28,0.83,6,107,101.6
Alfonzo McKinnie,1762796 ,2,27.91,30.9,15.2,12.3,0.71,0.557,0.215,0.468,0.493,4.6,2.8,10.6,0.4,3.3,0.58,0.2,0.65,4.7,98.5,104.8
Andre Iguodala,15000000 ,1,36.55,41.5,12.8,22.2,0.4,0.585,0.298,0.511,0.507,4.6,3.7,10.4,2.4,16.9,0.67,1,1.29,6.9,100.3,103.6
Anfernee Simons,2252040 ,1,21.19,43.1,18.7,9.6,0.826,0.447,0.332,0.468,0.501,8.3,2.2,5.5,1.4,9.2,0.37,0.14,0.87,5.7,101.6,111.2
Anthony Davis,32742000 ,2,27.43,71.6,29.3,10.4,0.846,0.546,0.33,0.536,0.61,26.1,9.3,14.8,3.2,15.1,1.47,2.31,2.48,10.7,120.3,100.6
Aron Baynes,6975610 ,3,33.68,46.3,21.2,10.8,0.747,0.579,0.351,0.556,0.58,11.5,5.7,14.3,1.6,10.9,0.21,0.55,1.19,8.5,112.8,99
Austin Rivers,3174603 ,1,28.04,48.8,15.6,8.3,0.703,0.498,0.356,0.517,0.542,8.8,2.6,5.7,1.7,10,0.72,0.16,0.74,5.8,110.2,107.2
Avery Bradley,5635000 ,1,29.72,50.4,15.7,10.7,0.833,0.51,0.364,0.526,0.537,8.6,2.3,5.3,1.3,7.2,0.88,0.1,0.96,4.9,103.2,102.3
Bam Adebayo,5115492 ,3,23.08,69.9,21.2,17.5,0.691,0.564,0.143,0.558,0.597,15.9,10.2,17,5.1,24.2,1.14,1.29,2.82,11.2,116.2,102.2
Ben McLemore,2283034 ,1,27.51,47.5,16,8,0.746,0.656,0.4,0.61,0.622,10.1,2.2,5,0.8,5.2,0.65,0.23,0.7,4.6,117.3,106
Ben Simmons,29250000 ,2,24.07,73.7,20.9,20.4,0.621,0.582,0.286,0.58,0.601,16.4,7.8,12.2,8,33.8,2.11,0.58,3.51,11.4,115.2,100.7
Bismack Biyombo,2331593 ,3,27.96,40.5,16.8,12.2,0.603,0.543,0,0.543,0.57,7.4,5.8,16.3,0.9,7.8,0.19,0.92,0.91,7,115.5,103.3
Blake Griffin,36595996 ,2,31.42,59.3,28.4,12,0.776,0.439,0.243,0.406,0.476,15.5,4.7,9.3,3.3,18,0.39,0.39,2.22,8.7,97.5,111.8
Bobby Portis,3623000 ,2,25.51,44,21.4,10.4,0.763,0.493,0.358,0.507,0.53,10.1,5.1,12.9,1.5,11.1,0.5,0.27,1.11,8.1,106.6,107.6
Bol Bol,2058240 ,3,20.75,30.2,21.2,23.6,0.8,0.526,0.444,0.571,0.617,6.7,3.2,12.3,1,9.8,0.33,1,1.67,7.7,101.6,100.8
Brad Wanamaker,2250000 ,1,31.06,40.2,15.5,15.3,0.926,0.481,0.363,0.499,0.577,6.9,2,5.6,2.5,17.8,0.85,0.21,1.07,6.7,115.2,101.9
Bradley Beal,28751775 ,1,27.13,75,34.4,11.5,0.843,0.515,0.353,0.52,0.579,30.6,4.2,6.4,6.1,29.5,1.26,0.4,3.42,10.2,112.6,114
Brandon Clarke,2602920 ,2,23.9,46.7,18.6,9.5,0.759,0.661,0.359,0.645,0.665,12.1,5.9,13.9,1.4,9.5,0.57,0.83,0.95,8.3,126.6,105.5
Brandon Goodwin,1701593 ,1,24.87,26.4,22.4,12.5,0.933,0.485,0.299,0.468,0.507,6.1,2.1,9,1.5,18,0.35,0.12,0.85,8.4,100.8,108.9
Brook Lopez,12697675 ,3,32.37,55.7,18.3,8.7,0.836,0.549,0.314,0.511,0.551,12,4.6,8.5,1.5,7.4,0.68,2.4,1.03,6.5,108.9,97.6
Bruce Brown,1663861 ,1,24,58.7,16,16.8,0.739,0.47,0.344,0.48,0.518,8.9,4.7,9.5,4,20.4,1.09,0.5,1.74,7.8,106.2,105.2
Bruno Fernando,1517981 ,2,22,26.5,15.3,15.9,0.569,0.605,0.135,0.53,0.542,4.3,3.5,15,0.9,9.9,0.32,0.3,0.75,7.5,107,102.4
Bryn Forbes,2337145 ,1,27.06,52.2,18.5,8.4,0.833,0.47,0.388,0.544,0.57,11.2,2,4.3,1.7,9.5,0.52,0,0.9,5.4,109.5,111.6
Buddy Hield,24431818 ,1,26.66,64.1,27.2,12.1,0.846,0.478,0.394,0.545,0.565,19.2,4.6,8.3,3,15.5,0.93,0.24,2.33,8.3,106,108.7
